ff,city,state,pop,obese
8,Warrior,AL,717835,32.200000
7,Wetumpka,AL,80629,31.500000
1,Whistler,AL,413936,32.666666
10,Winfield,AL,47310,35.100000
4,Alma,AR,61946,34.600000
12,Arkadelphia,AR,56330,34.166666
6,Ash Flat,AR,42846,32.133333
4,Ashdown,AR,12919,33.433333
6,Atkins,AR,84052,34.433333
1,Bald Knob,AR,78493,33.066666
7,Batesville,AR,37025,31.400000
5,Beebe,AR,78493,33.066666
12,Benton,AR,129831,35.500000
9,Bentonville,AR,232268,30.066666
10,Berryville,AR,35696,35.366666
8,Blytheville,AR,45562,37.500000
4,Booneville,AR,149287,32.600000
4,Brinkley,AR,7828,35.266666
6,Bryant,AR,111845,32.433333
21,Cabot,AR,577496,33.933333
2,Caddo Valley,AR,56330,34.166666
8,Camden,AR,30703,37.166666
1,Centerton,AR,232268,30.066666
6,Clarksville,AR,25901,34.966666
12,Clinton,AR,50980,34.433333
13,Conway,AR,118704,32.166666
2,Corning,AR,15684,32.933333
4,Crossett,AR,21524,37.266666
1,Danville,AR,21932,34.333333
8,Dardanelle,AR,43915,34.566666
4,De Queen,AR,17177,34.900000
2,Dumas,AR,12545,36.433333
4,Earle,AR,67704,36.733333
8,El Dorado,AR,40867,32.100000
1,El Paso,AR,78493,33.066666
4,Eureka Springs,AR,43255,32.600000
2,Fairfield Bay,AR,42838,32.800000
1,Farmington,AR,211411,31.000000
32,Fayetteville,AR,459324,32.600000
1,Flippin,AR,16568,33.100000
4,Fordyce,AR,13294,34.300000
11,Forrest City,AR,38074,37.033333
28,Fort Smith,AR,127304,31.466666
1,Gassville,AR,16568,33.100000
2,Greenbrier,AR,118704,32.166666
1,Greenland,AR,211411,31.000000
3,Greenwood,AR,127304,31.466666
4,Hardy,AR,29372,32.133333
25,Harrison,AR,61981,35.366666
5,Heber Springs,AR,25808,30.000000
6,Hope,AR,22373,35.766666
33,Hot Springs,AR,130297,34.166666
4,Hot Springs Village,AR,208748,32.433333
2,Huntsville,AR,43255,32.600000
22,Jacksonville,AR,577496,33.933333
25,Jonesboro,AR,142898,35.500000
4,Lake Village,AR,32957,37.266666
52,Little Rock,AR,500798,33.266666
1,Little Rock Afb,AR,388953,33.266666
8,Lonoke,AR,78297,33.833333
3,Lowell,AR,232268,30.066666
2,Mabelvale,AR,500798,33.266666
9,Magnolia,AR,65340,33.333333
19,Malvern,AR,242142,34.166666
2,Marianna,AR,10216,35.266666
4,Marion,AR,50021,36.733333
1,Marked Tree,AR,24307,35.600000
1,Marshall,AR,8007,31.833333
4,Maumelle,AR,388953,33.266666
12,Mena,AR,31481,35.100000
12,Monticello,AR,32844,34.566666
5,Morrilton,AR,21287,34.433333
15,Mountain Home,AR,57616,33.100000
4,Mountain View,AR,12663,33.466666
4,Nashville,AR,47355,35.766666
9,Newport,AR,54625,34.566666
23,North Little Rock,AR,388953,33.266666
4,Osceola,AR,45562,37.500000
9,Ozark,AR,65929,34.966666
15,Paragould,AR,142898,35.500000
6,Paris,AR,40028,34.100000
1,Pea Ridge,AR,232268,30.066666
1,Piggott,AR,15684,32.933333
37,Pine Bluff,AR,115437,37.633333
5,Pocahontas,AR,17930,34.600000
5,Prescott,AR,31298,35.766666
22,Rogers,AR,247913,32.600000
13,Russellville,AR,62765,33.900000
10,Searcy,AR,78493,33.066666
3,Sheridan,AR,92709,37.633333
7,Sherwood,AR,507657,33.400000
11,Siloam Springs,AR,443679,31.000000
31,Springdale,AR,443679,31.000000
17,Stuttgart,AR,171912,37.633333
5,Texarkana,AR,43634,35.333333
3,Trumann,AR,24307,35.600000
10,Van Buren,AR,61946,34.600000
2,Waldron,AR,11010,31.900000
12,Walnut Ridge,AR,134677,35.866666
6,Warren,AR,20024,34.066666
5,West Helena,AR,20784,37.300000
11,West Memphis,AR,50021,36.733333
2,White Hall,AR,92709,37.633333
11,Wynne,AR,45541,37.033333
1,Ahwatukee,AZ,3942169,24.433333
1,Ajo,AZ,992394,25.500000
3,Anthem,AZ,3942169,24.433333
15,Avondale,AZ,3942169,24.433333
8,Benson,AZ,1124482,25.700000
1,Bisbee,AZ,132088,25.066666
2,Buckeye,AZ,3942169,24.433333
12,Bullhead City,AZ,203334,27.000000
5,Camp Verde,AZ,212637,23.900000
2,Catalina,AZ,1379759,29.300000
5,Cave Creek,AZ,3942169,24.433333
48,Chandler,AZ,4329534,29.300000
2,Chinle,AZ,73195,30.633333
4,Chino Valley,AZ,212637,23.900000
2,Claypool,AZ,53144,26.300000
7,Cottonwood,AZ,212637,23.900000
1,Davis-Monthan Afb,AZ,992394,25.500000
5,Douglas,AZ,132088,25.066666
14,Flagstaff,AZ,136011,25.133333
1,Fort Huachuca,AZ,132088,25.066666
2,Fort Mohave,AZ,203334,27.000000
6,Fountain Hills,AZ,3942169,24.433333
3,Gila Bend,AZ,3942169,24.433333
28,Gilbert,AZ,3942169,24.433333
61,Glendale,AZ,3942169,24.433333
6,Globe,AZ,53144,26.300000
8,Goodyear,AZ,3942169,24.433333
5,Green Valley,AZ,992394,25.500000
1,Guadalupe,AZ,3942169,24.433333
6,Holbrook,AZ,243105,30.000000
2,Kayenta,AZ,107094,30.000000
11,Kingman,AZ,203334,27.000000
9,Lake Havasu City,AZ,203334,27.000000
3,Lakeside,AZ,107094,30.000000
1,Litchfield Park,AZ,3942169,24.433333
3,Marana,AZ,992394,25.500000
1,Mayer,AZ,212637,23.900000
91,Mesa,AZ,4329534,29.300000
1,Mohave Valley,AZ,203334,27.000000
11,Nogales,AZ,47303,22.900000
3,Oro Valley,AZ,992394,25.500000
6,Page,AZ,136011,25.133333
1,Paradise Valley,AZ,3942169,24.433333
5,Parker,AZ,20281,29.333333
6,Payson,AZ,53144,26.300000
27,Peoria,AZ,3942169,24.433333
255,Phoenix,AZ,3942169,24.433333
1,Pinetop,AZ,107094,30.000000
13,Prescott,AZ,212637,23.900000
7,Prescott Valley,AZ,212637,23.900000
3,Quartzsite,AZ,20281,29.333333
1,Rio Rico,AZ,47303,22.900000
4,Safford,AZ,37416,31.066666
4,San Luis,AZ,200022,29.100000
47,Scottsdale,AZ,3942169,24.433333
5,Sedona,AZ,348648,25.166666
14,Show Low,AZ,180289,30.633333
11,Sierra Vista,AZ,132088,25.066666
1,Snowflake,AZ,107094,30.000000
1,South Tucson,AZ,992394,25.500000
1,Springerville,AZ,73195,30.633333
4,Sun City,AZ,3942169,24.433333
6,Sun Lakes,AZ,4329534,29.300000
12,Surprise,AZ,3942169,24.433333
2,Taylor,AZ,107094,30.000000
49,Tempe,AZ,3942169,24.433333
2,Thatcher,AZ,37416,31.066666
1,Tolleson,AZ,3942169,24.433333
1,Tortolita,AZ,992394,25.500000
3,Tuba City,AZ,136011,25.133333
134,Tucson,AZ,1379759,29.300000
2,Tusayan,AZ,136011,25.133333
5,Wickenburg,AZ,4154806,24.633333
5,Willcox,AZ,169504,31.066666
6,Williams,AZ,348648,25.166666
2,Window Rock,AZ,73195,30.633333
8,Winslow,AZ,243105,30.000000
1,Youngtown,AZ,3942169,24.433333
27,Yuma,AZ,200022,29.100000
2,Acton,CA,9962789,22.300000
6,Agoura Hills,CA,9962789,22.300000
11,Alameda,CA,1554720,21.700000
1,Alamo,CA,1079597,24.066666
2,Albany,CA,2634317,24.066666
16,Alhambra,CA,9962789,22.300000
4,Aliso Viejo,CA,3090132,21.700000
3,Alpine,CA,3177063,23.400000
2,Alta Loma,CA,2081313,26.800000
4,Altadena,CA,9962789,22.300000
2,American Canyon,CA,559802,26.066666
62,Anaheim,CA,3090132,21.700000
2,Anaheim Hills,CA,3090132,21.700000
9,Anderson,CA,241992,26.733333
3,Angels Camp,CA,44742,25.333333
5,Antelope,CA,1450121,26.700000
17,Antioch,CA,1079597,24.066666
11,Apple Valley,CA,2081313,26.800000
2,Aptos,CA,266776,21.333333
11,Arcadia,CA,9962789,22.300000
2,Arcata,CA,134827,25.600000
1,Arden-Arcade,CA,1450121,26.700000
3,Arleta,CA,9962789,22.300000
4,Arroyo Grande,CA,274804,21.933333
7,Artesia,CA,9962789,22.300000
3,Arvin,CA,856158,26.900000
1,Ashland,CA,1554720,21.700000
7,Atascadero,CA,274804,21.933333
6,Atwater,CA,262305,29.100000
12,Auburn,CA,361682,22.433333
1,Avalon,CA,9962789,22.300000
10,Azusa,CA,9962789,22.300000
2,Baker,CA,2081313,26.800000
97,Bakersfield,CA,856158,26.900000
12,Baldwin Park,CA,9962789,22.300000
7,Banning,CA,2268783,26.233333
15,Barstow,CA,2081313,26.800000
2,Bay Point,CA,1079597,24.066666
1,Beale Afb,CA,72926,28.600000
3,Beaumont,CA,2268783,26.233333
5,Bell,CA,9962789,22.300000
5,Bell Gardens,CA,9962789,22.300000
10,Bellflower,CA,9962789,22.300000
2,Belmont,CA,739311,21.400000
7,Benicia,CA,420757,26.066666
3,Berkeley,CA,1554720,21.700000
3,Bermuda Dunes,CA,2268783,26.233333
6,Big Bear Lake,CA,2081313,26.800000
9,Bishop,CA,32843,23.766666
3,Bloomington,CA,2081313,26.800000
1,Blue Jay,CA,2081313,26.800000
13,Blythe,CA,2445731,26.233333
3,Bonita,CA,3177063,23.400000
3,Bonsall,CA,5445846,26.233333
2,Boron,CA,2937471,27.033333
5,Brawley,CA,176948,24.066666
11,Brea,CA,3090132,21.700000
8,Brentwood,CA,1079597,24.066666
4,Buellton,CA,431249,21.066666
20,Buena Park,CA,3090132,21.700000
17,Burbank,CA,9962789,22.300000
1,Burney,CA,178586,26.733333
3,Buttonwillow,CA,856158,26.900000
2,Cabazon,CA,2268783,26.233333
3,Calabasas,CA,9962789,22.300000
13,Calexico,CA,176948,24.066666
1,California City,CA,856158,26.900000
8,Calimesa,CA,4350096,26.800000
15,Camarillo,CA,835981,23.100000
5,Cameron Park,CA,180561,21.800000
4,Camp Pendleton,CA,3177063,23.400000
9,Campbell,CA,1837504,22.133333
24,Canoga Park,CA,10798770,23.100000
5,Canyon Country,CA,9962789,22.300000
4,Capitola,CA,266776,21.333333
1,Cardiff,CA,3177063,23.400000
15,Carlsbad,CA,3177063,23.400000
1,Carmel Mountain,CA,3177063,23.400000
8,Carmichael,CA,1811803,26.700000
4,Carpinteria,CA,1267230,23.100000
20,Carson,CA,9962789,22.300000
6,Castaic,CA,9962789,22.300000
7,Castro Valley,CA,1554720,21.700000
1,Castroville,CA,426762,23.100000
10,Cathedral City,CA,2268783,26.233333
7,Ceres,CA,521726,28.466666
8,Cerritos,CA,9962789,22.300000
11,Chatsworth,CA,10798770,23.100000
22,Chico,CA,284945,25.133333
20,Chino,CA,12044102,26.800000
22,Chino Hills,CA,12044102,26.800000
5,Chowchilla,CA,414523,29.100000
38,Chula Vista,CA,3177063,23.400000
22,Citrus Heights,CA,1450121,26.700000
11,City Of Industry,CA,9962789,22.300000
2,Claremont,CA,9962789,22.300000
1,Clayton,CA,1079597,24.066666
3,Clearlake,CA,63983,25.866666
2,Cloverdale,CA,491829,23.166666
20,Clovis,CA,947895,27.633333
9,Coachella,CA,2268783,26.233333
6,Coalinga,CA,947895,27.633333
2,Colfax,CA,361682,22.433333
2,Colma,CA,1565174,21.400000
26,Colton,CA,4350096,26.800000
2,Colusa,CA,21411,23.733333
5,Commerce,CA,9962789,22.300000
12,Compton,CA,9962789,22.300000
17,Concord,CA,1079597,24.066666
3,Corcoran,CA,603341,28.266666
4,Corning,CA,63406,25.133333
41,Corona,CA,4350096,26.800000
1,Corona Del Mar,CA,3090132,21.700000
4,Coronado,CA,3177063,23.400000
24,Costa Mesa,CA,3090132,21.700000
1,Cotati,CA,491829,23.166666
17,Covina,CA,9962789,22.300000
6,Crescent City,CA,28290,25.666666
1,Crestline,CA,2081313,26.800000
3,Cudahy,CA,9962789,22.300000
11,Culver City,CA,9962789,22.300000
6,Cupertino,CA,1837504,22.133333
21,Cypress,CA,13052921,22.300000
22,Daly City,CA,1565174,21.400000
6,Dana Point,CA,3090132,21.700000
3,Danville,CA,1079597,24.066666
23,Davis,CA,624875,26.066666
3,Del Mar,CA,3177063,23.400000
1,Del Rey Oaks,CA,426762,23.100000
11,Delano,CA,1308135,28.266666
5,Desert Hot Springs,CA,2268783,26.233333
12,Diamond Bar,CA,9962789,22.300000
11,Dinuba,CA,1399872,28.266666
2,Discovery Bay,CA,2634317,24.066666
13,Dixon,CA,624875,26.066666
24,Downey,CA,9962789,22.300000
6,Duarte,CA,9962789,22.300000
13,Dublin,CA,2634317,24.066666
2,Dunnigan,CA,204118,24.433333
1,E Rancho Dominguez,CA,9962789,22.300000
3,Eagle Rock,CA,9962789,22.300000
2,Earlimart,CA,1308135,28.266666
1,East Hemet,CA,2268783,26.233333
6,East Los Angeles,CA,9962789,22.300000
3,East Palo Alto,CA,2576815,22.133333
1,East Pasadena,CA,9962789,22.300000
1,Echo Park,CA,9962789,22.300000
2,Edwards Afb,CA,856158,26.900000
36,El Cajon,CA,3177063,23.400000
15,El Centro,CA,176948,24.066666
7,El Cerrito,CA,1079597,24.066666
3,El Dorado Hills,CA,180561,21.800000
14,El Monte,CA,9962789,22.300000
1,El Paso De Robles,CA,274804,21.933333
2,El Segundo,CA,9962789,22.300000
2,El Sobrante,CA,1079597,24.066666
4,El Toro,CA,3090132,21.700000
19,Elk Grove,CA,1450121,26.700000
3,Emeryville,CA,1554720,21.700000
1,Emigrant Gap,CA,361682,22.433333
10,Encinitas,CA,3177063,23.400000
4,Encino,CA,9962789,22.300000
2,Escalon,CA,702612,28.366666
28,Escondido,CA,3177063,23.400000
11,Eureka,CA,134827,25.600000
3,Exeter,CA,451977,28.266666
8,Fair Oaks,CA,1450121,26.700000
23,Fairfield,CA,420757,26.066666
13,Fallbrook,CA,5445846,26.233333
1,Farmersville,CA,451977,28.266666
4,Fillmore,CA,835981,23.100000
6,Firebaugh,CA,1362418,29.100000
