ff,city,state,pop,obese
7,Jesup,GA,30305,32.000000
22,Jonesboro,GA,474941,33.833333
16,Kennesaw,GA,707442,25.766666
2,Kings Bay,GA,51402,29.433333
7,Kingsland,GA,51402,29.433333
6,La Fayette,GA,68094,30.933333
15,Lagrange,GA,89741,31.800000
3,Lake City,GA,265888,33.833333
9,Lake Park,GA,118540,31.866666
1,Lakeland,GA,10400,30.200000
10,Lavonia,GA,47412,29.666666
26,Lawrenceville,GA,842046,27.033333
2,Leesburg,GA,123247,34.400000
10,Lilburn,GA,842046,27.033333
1,Lincolnton,GA,7737,32.900000
16,Lithia Springs,GA,841413,32.033333
28,Lithonia,GA,1634955,31.933333
10,Locust Grove,GA,296442,32.033333
32,Loganville,GA,1113946,31.933333
2,Louisville,GA,39557,35.166666
6,Mableton,GA,707442,25.766666
53,Macon,GA,211676,31.266666
24,Madison,GA,139746,31.566666
3,Manchester,GA,27790,33.433333
69,Marietta,GA,928757,28.633333
18,Martinez,GA,334214,31.933333
17,McDonough,GA,294873,31.933333
1,McRae,GA,16349,30.166666
11,Metter,GA,83811,31.500000
44,Milledgeville,GA,135594,35.366666
8,Monroe,GA,84575,29.000000
2,Montezuma,GA,28581,32.900000
2,Monticello,GA,115135,31.133333
1,Moody Afb,GA,114552,31.866666
7,Morrow,GA,265888,33.833333
14,Moultrie,GA,67878,31.433333
7,Nashville,GA,29441,30.500000
24,Newnan,GA,142562,29.833333
40,Norcross,GA,2526908,27.366666
4,Oakwood,GA,185416,29.133333
8,Peachtree City,GA,250086,29.833333
3,Pelham,GA,93308,32.400000
2,Pembroke,GA,104908,31.500000
12,Perry,GA,173758,31.433333
3,Pine Mountain,GA,122291,31.800000
6,Pooler,GA,276434,28.733333
4,Port Wentworth,GA,329727,31.033333
19,Powder Springs,GA,986213,32.033333
2,Quitman,GA,15403,31.500000
1,Riceboro,GA,65471,31.733333
6,Richmond Hill,GA,97685,31.733333
5,Rincon,GA,53293,31.033333
16,Ringgold,GA,236499,31.733333
9,Riverdale,GA,265888,33.833333
1,Robins Afb,GA,146136,29.666666
6,Rockmart,GA,214388,30.866666
24,Rome,GA,196838,29.533333
2,Rossville,GA,133140,31.733333
30,Roswell,GA,1906530,28.633333
12,Royston,GA,95018,34.000000
11,Sandersville,GA,67246,33.233333
5,Sandy Springs,GA,2526908,27.366666
44,Savannah,GA,276434,28.733333
17,Smyrna,GA,707442,25.766666
18,Snellville,GA,1634955,31.933333
3,Social Circle,GA,203961,31.133333
4,St. Marys,GA,51402,29.433333
3,St. Simons Island,GA,81022,28.533333
10,Statesboro,GA,72694,31.500000
30,Stockbridge,GA,560761,33.833333
26,Stone Mountain,GA,1549135,27.366666
2,Sugar Hill,GA,1027462,29.133333
10,Summerville,GA,189996,31.266666
46,Suwanee,GA,2007747,27.033333
5,Swainsboro,GA,22898,30.400000
2,Sylvania,GA,14202,31.666666
8,Sylvester,GA,116242,34.400000
2,Tallapoosa,GA,28400,30.866666
4,Temple,GA,284780,30.933333
7,Thomaston,GA,26630,31.700000
12,Thomasville,GA,70164,32.333333
12,Thomson,GA,153290,30.966666
17,Tifton,GA,60105,31.866666
21,Toccoa,GA,109621,31.500000
10,Trenton,GA,84584,30.933333
2,Trion,GA,93819,31.266666
21,Tucker,GA,1549135,27.366666
6,Union City,GA,977773,25.666666
32,Valdosta,GA,129955,32.533333
19,Vidalia,GA,59126,31.833333
3,Vienna,GA,46992,32.766666
19,Villa Rica,GA,390351,32.033333
20,Warner Robins,GA,146136,29.666666
3,Washington,GA,10076,31.333333
2,Watkinsville,GA,49711,31.433333
7,Waycross,GA,35821,31.866666
3,Waynesboro,GA,23125,34.533333
2,West Point,GA,101018,31.333333
18,Winder,GA,164359,30.466666
24,Woodstock,GA,928757,28.633333
2,Wrens,GA,16432,35.166666
4,Aiea,HI,976372,21.766666
1,Eleele Kauai,HI,68434,21.733333
2,Haleiwa,HI,976372,21.766666
1,Hawaii Kai,HI,976372,21.766666
1,Hickam Afb,HI,976372,21.766666
8,Hilo,HI,189191,23.233333
59,Honolulu,HI,976372,21.766666
9,Kahului,HI,158226,22.833333
6,Kailua,HI,976372,21.766666
4,Kailua Kona,HI,189191,23.233333
5,Kaneohe,HI,976372,21.766666
3,Kapaa,HI,68434,21.733333
5,Kapolei,HI,976372,21.766666
1,Keaau,HI,189191,23.233333
1,Kealakekua,HI,189191,23.233333
3,Kihei,HI,158226,22.833333
1,Kona,HI,189191,23.233333
6,Lahaina,HI,158226,22.833333
5,Lihue,HI,68434,21.733333
1,Makawao,HI,158226,22.833333
6,Mililani,HI,976372,21.766666
4,Pearl City,HI,976372,21.766666
1,Pearl Harbor,HI,976372,21.766666
3,Wahiawa,HI,976372,21.766666
3,Waianae,HI,976372,21.766666
1,Waikiki,HI,976372,21.766666
4,Wailuku,HI,158226,22.833333
1,Waimalu,HI,976372,21.766666
2,Waimanalo,HI,976372,21.766666
10,Waipahu,HI,976372,21.766666
4,Albia,IA,43429,32.566666
3,Algona,IA,15346,30.400000
7,Altoona,IA,443710,29.033333
12,Ames,IA,117335,32.433333
2,Anamosa,IA,235934,29.933333
7,Ankeny,IA,443710,29.033333
13,Atlantic,IA,31702,34.066666
3,Audubon,IA,38610,32.866666
4,Belle Plaine,IA,78288,30.533333
7,Bettendorf,IA,168799,29.066666
2,Bloomfield,IA,44055,31.366666
5,Boone,IA,41539,32.433333
10,Burlington,IA,40340,32.466666
4,Carroll,IA,20631,31.266666
26,Cedar Falls,IA,183733,31.466666
53,Cedar Rapids,IA,377439,30.533333
2,Center Point,IA,241122,30.533333
5,Centerville,IA,12700,30.400000
3,Chariton,IA,15104,32.166666
3,Charles City,IA,28332,31.233333
2,Cherokee,IA,11946,28.366666
3,Clarinda,IA,21921,31.966666
1,Clarion,IA,12991,30.133333
5,Clear Lake,IA,43788,29.133333
11,Clinton,IA,48717,30.433333
10,Clive,IA,515677,30.333333
2,Colfax,IA,480312,33.800000
8,Coralville,IA,136317,26.266666
2,Corning,IA,10119,32.566666
24,Council Bluffs,IA,107750,31.666666
2,Cresco,IA,30624,29.800000
7,Creston,IA,23986,32.566666
22,Davenport,IA,168799,29.066666
3,De Witt,IA,48717,30.433333
5,Decorah,IA,35298,29.400000
4,Denison,IA,17309,30.566666
51,Des Moines,IA,562568,32.500000
17,Dubuque,IA,95097,28.466666
6,Dyersville,IA,112671,32.800000
1,Emmetsburg,IA,9275,29.333333
5,Estherville,IA,27092,31.566666
1,Evansdale,IA,131820,29.500000
5,Fairfield,IA,16867,30.366666
4,Forest City,IA,21734,29.600000
8,Fort Dodge,IA,37273,30.000000
6,Fort Madison,IA,35617,32.466666
1,Garner,IA,11134,28.733333
2,Glenwood,IA,14837,28.533333
1,Greenfield,IA,7481,31.233333
4,Grimes,IA,515677,30.333333
9,Grinnell,IA,55338,33.800000
1,Grundy Center,IA,12448,31.466666
1,Hamburg,IA,7147,32.333333
2,Hampton,IA,10554,31.633333
2,Harlan,IA,12069,31.700000
4,Humboldt,IA,47002,31.800000
1,Ida Grove,IA,7108,29.833333
3,Independence,IA,20942,30.233333
3,Indianola,IA,46891,32.500000
12,Iowa City,IA,136317,26.266666
4,Iowa Falls,IA,27856,32.766666
2,Johnston,IA,443710,29.033333
6,Keokuk,IA,35617,32.466666
2,Kingsley,IA,127230,31.800000
5,Knoxville,IA,33419,30.866666
1,Lamoni,IA,8253,30.466666
1,Le Claire,IA,168799,29.066666
5,Le Mars,IA,59175,31.733333
3,Manchester,IA,17574,32.800000
3,Maquoketa,IA,68429,31.066666
6,Marion,IA,215295,29.133333
13,Marshalltown,IA,58393,31.633333
15,Mason City,IA,51307,29.900000
6,Missouri Valley,IA,107461,31.933333
3,Monticello,IA,253508,32.800000
13,Mount Pleasant,IA,59017,30.966666
13,Muscatine,IA,54157,33.100000
1,Nevada,IA,91140,27.400000
2,New Hampton,IA,21839,31.100000
5,Newton,IA,36602,33.800000
2,Northwood,IA,18119,29.900000
2,Norwalk,IA,62545,32.500000
4,Oelwein,IA,41735,33.200000
1,Okoboji,IA,16972,28.866666
2,Onawa,IA,9124,28.600000
1,Orange City,IA,34268,28.333333
3,Osage,IA,34300,30.600000
4,Osceola,IA,9370,30.766666
5,Oskaloosa,IA,22443,28.866666
18,Ottumwa,IA,57809,30.300000
3,Pella,IA,55862,30.866666
1,Percival,IA,7147,32.333333
7,Perry,IA,107315,32.433333
1,Pleasant Hill,IA,443710,29.033333
10,Red Oak,IA,103479,31.800000
1,Rock Rapids,IA,11757,29.300000
2,Rock Valley,IA,46025,29.300000
4,Sheldon,IA,66390,30.900000
5,Shenandoah,IA,22860,32.333333
2,Sibley,IA,17950,30.733333
3,Sioux Center,IA,34268,28.333333
29,Sioux City,IA,127230,31.800000
11,Spencer,IA,33571,30.433333
2,Spirit Lake,IA,16972,28.866666
10,Storm Lake,IA,30745,29.833333
4,Stuart,IA,18258,31.566666
2,Tipton,IA,18416,33.200000
1,Toledo,IA,17536,28.633333
4,Urbandale,IA,443710,29.033333
3,Vinton,IA,25827,30.533333
2,Walcott,IA,168799,29.066666
3,Walnut,IA,118705,34.066666
4,Washington,IA,21914,30.766666
17,Waterloo,IA,131820,29.500000
1,Waukee,IA,71967,30.333333
2,Waukon,IA,35298,29.400000
7,Waverly,IA,39465,28.933333
3,West Branch,IA,197612,33.200000
14,West Des Moines,IA,515677,30.333333
1,West Union,IA,20793,33.200000
1,Windsor Heights,IA,443710,29.033333
4,Winterset,IA,23135,31.233333
3,American Falls,ID,76501,32.400000
2,Ammon,ID,106684,28.266666
5,Blackfoot,ID,45474,32.400000
68,Boise,ID,442119,29.366666
11,Burley,ID,43286,30.233333
11,Caldwell,ID,233200,30.033333
9,Chubbuck,ID,129274,32.400000
12,Coeur D'Alene,ID,142357,26.433333
1,Driggs,ID,10052,26.666666
9,Eagle,ID,619622,30.033333
1,Eden,ID,22499,31.266666
6,Emmett,ID,39312,29.966666
7,Garden City,ID,415896,28.133333
1,Hailey,ID,21146,21.833333
2,Hayden,ID,142357,26.433333
34,Idaho Falls,ID,178842,32.400000
6,Jerome,ID,37790,31.266666
1,Kellogg,ID,12702,29.966666
2,Kuna,ID,602949,29.666666
9,Lewiston,ID,39531,30.766666
1,Malad City,ID,4215,30.066666
13,Meridian,ID,409061,25.466666
7,Moscow,ID,38184,26.866666
7,Mountain Home,ID,26223,29.166666
1,Mountain Home Afb,ID,26223,29.166666
18,Nampa,ID,602949,29.666666
2,Payette,ID,32738,28.766666
11,Pocatello,ID,83800,29.500000
2,Ponderay,ID,40476,25.333333
7,Post Falls,ID,142357,26.433333
1,Preston,ID,12786,29.266666
2,Rathdrum,ID,142357,26.433333
14,Rexburg,ID,50413,27.466666
2,Rigby,ID,133368,28.266666
2,Rupert,ID,43286,30.233333
1,Salmon,ID,7758,24.966666
3,Sandpoint,ID,40476,25.333333
2,Star,ID,602949,29.666666
17,Twin Falls,ID,101094,31.266666
1,Weiser,ID,10099,28.766666
2,Abingdon,IL,69978,31.533333
8,Addison,IL,927987,26.300000
1,Albion,IL,6684,27.866666
2,Aledo,IL,16219,30.900000
18,Algonquin,IL,6061983,28.100000
3,Alsip,IL,5231351,27.266666
1,Altamont,IL,34353,28.166666
19,Alton,IL,315114,30.466666
6,Anna,IL,17647,30.333333
4,Antioch,IL,702120,26.366666
8,Arlington Heights,IL,5231351,27.266666
45,Aurora,IL,1568579,28.500000
2,Barry,IL,83505,30.166666
16,Bartlett,IL,6681825,28.100000
5,Bartonville,IL,187254,28.400000
5,Batavia,IL,522487,28.100000
4,Beardstown,IL,13338,29.733333
2,Beecher,IL,795558,31.166666
16,Belleville,IL,268858,29.733333
1,Bellwood,IL,5231351,27.266666
14,Belvidere,IL,346009,29.833333
3,Bensenville,IL,927987,26.300000
4,Benton,IL,39407,29.600000
11,Berwyn,IL,5231351,27.266666
5,Bethalto,IL,267883,30.466666
6,Bloomingdale,IL,927987,26.300000
13,Bloomington,IL,172281,30.466666
4,Blue Island,IL,5231351,27.266666
15,Bolingbrook,IL,1610505,31.066666
6,Bourbonnais,IL,113040,31.100000
5,Bradley,IL,113040,31.100000
1,Braidwood,IL,682518,31.066666
2,Breese,IL,38061,28.600000
7,Bridgeview,IL,5231351,27.266666
11,Buffalo Grove,IL,5933471,27.266666
4,Burbank,IL,5231351,27.266666
1,Bushnell,IL,32537,29.300000
1,Byron,IL,52848,28.366666
5,Cahokia,IL,268858,29.733333
6,Calumet City,IL,5231351,27.266666
3,Calumet Park,IL,5231351,27.266666
11,Canton,IL,223905,30.000000
23,Carbondale,IL,139505,30.066666
8,Carlyle,IL,55705,29.166666
2,Carmi,IL,14568,29.666666
8,Carol Stream,IL,927987,26.300000
7,Carpentersville,IL,522487,28.100000
4,Carterville,IL,126745,30.066666
1,Carthage,IL,18891,28.600000
8,Cary,IL,1010265,26.900000
16,Casey,IL,90446,30.333333
4,Caseyville,IL,268858,29.733333
33,Centralia,IL,130273,31.633333
18,Champaign,IL,203276,27.766666
2,Channahon,IL,732799,31.766666
4,Charleston,IL,53655,29.300000
2,Chatham,IL,199271,29.733333
2,Chenoa,IL,210928,30.466666
3,Chester,IL,32956,29.933333
266,Chicago,IL,5231351,27.266666
12,Chicago Heights,IL,5913869,31.066666
3,Chicago Ridge,IL,5231351,27.266666
8,Chillicothe,IL,199581,29.333333
8,Cicero,IL,5231351,27.266666
4,Clinton,IL,16434,29.500000
2,Coal City,IL,732799,31.766666
16,Collinsville,IL,536741,30.500000
1,Colona,IL,50155,28.500000
3,Columbia,IL,302215,29.733333
4,Countryside,IL,5231351,27.266666
3,Crest Hill,IL,682518,31.066666
3,Crestwood,IL,5231351,27.266666
3,Creve Coeur,IL,174920,29.600000
11,Crystal Lake,IL,308145,26.866666
11,Danville,IL,80727,29.233333
3,Darien,IL,927987,26.300000
16,Decatur,IL,110122,31.366666
8,DeKalb,IL,104704,29.733333
12,Des Plaines,IL,5231351,27.266666
11,Dixon,IL,87885,28.366666
4,Dolton,IL,5231351,27.266666
9,Downers Grove,IL,927987,26.300000
6,Du Quoin,IL,82129,29.066666
1,Dundee,IL,522487,28.100000
4,Dwight,IL,88928,31.766666
2,East Alton,IL,267883,30.466666
1,East Dundee,IL,522487,28.100000
5,East Moline,IL,147457,28.066666
10,East Peoria,IL,174920,29.600000
5,East St. Louis,IL,536741,30.500000
9,Edwardsville,IL,267883,30.466666
9,Effingham,IL,34353,28.166666
2,El Paso,IL,38971,29.600000
2,Elburn,IL,627191,29.733333
9,Eldorado,IL,38746,29.833333
38,Elgin,IL,6681825,28.100000
9,Elk Grove,IL,6159338,27.266666
11,Elk Grove Village,IL,6159338,27.266666
16,Elmhurst,IL,6159338,27.266666
4,Eureka,IL,174920,29.600000
7,Evanston,IL,5231351,27.266666
4,Evergreen Park,IL,5231351,27.266666
3,Fairfield,IL,16574,29.200000
5,Fairview Heights,IL,268858,29.733333
3,Farmington,IL,276152,31.533333
3,Flora,IL,13766,29.166666
2,Forest Park,IL,5231351,27.266666
3,Forsyth,IL,110122,31.366666
5,Fox Lake,IL,702120,26.366666
2,Fox River Grove,IL,1010265,26.900000
8,Frankfort,IL,5913869,31.066666
5,Franklin Park,IL,5231351,27.266666
2,Freeburg,IL,268858,29.733333
9,Freeport,IL,46959,29.066666
1,Galena,IL,22549,28.500000
19,Galesburg,IL,69978,31.533333
4,Geneseo,IL,50155,28.500000
4,Geneva,IL,522487,28.100000
4,Genoa,IL,989276,29.900000
1,Georgetown,IL,80727,29.233333
3,Gibson City,IL,217284,30.733333
2,Gilman,IL,29240,31.100000
3,Glen Carbon,IL,267883,30.466666
5,Glen Ellyn,IL,927987,26.300000
6,Glendale Heights,IL,927987,26.300000
7,Glenview,IL,5231351,27.266666
2,Glenwood,IL,5231351,27.266666
8,Godfrey,IL,290625,30.466666
10,Granite City,IL,267883,30.466666
4,Grayslake,IL,702120,26.366666
4,Great Lakes,IL,702120,26.366666
5,Greenville,IL,55705,29.166666
12,Gurnee,IL,702120,26.366666
9,Hampshire,IL,935336,29.733333
13,Hanover Park,IL,6681825,28.100000
6,Harrisburg,IL,24946,29.633333
3,Harvard,IL,362085,29.833333
3,Harvey,IL,5231351,27.266666
2,Harwood Heights,IL,5231351,27.266666
6,Havana,IL,50978,30.600000
2,Hazel Crest,IL,5231351,27.266666
5,Herrin,IL,66674,30.066666
3,Hickory Hills,IL,5231351,27.266666
13,Highland,IL,323588,30.466666
4,Highland Park,IL,702120,26.366666
2,Hillside,IL,5231351,27.266666
3,Hinsdale,IL,6159338,27.266666
6,Hoffman Estates,IL,5231351,27.266666
3,Homer Glen,IL,5913869,31.066666
5,Homewood,IL,5231351,27.266666
4,Hoopeston,IL,109967,31.100000
2,Huntley,IL,830632,28.100000
1,Ina,IL,38720,31.633333
2,Island Lake,IL,1010265,26.900000
4,Itasca,IL,927987,26.300000
12,Jacksonville,IL,40562,29.566666
12,Jerseyville,IL,36318,30.533333
2,Johnston City,IL,66674,30.066666
32,Joliet,IL,800623,31.066666
5,Kankakee,IL,113040,31.100000
6,Kewanee,IL,50155,28.500000
1,Knoxville,IL,52247,31.533333
2,La Grange,IL,5231351,27.266666
1,La Salle,IL,112973,29.600000
2,Lake Bluff,IL,702120,26.366666
2,Lake Forest,IL,702120,26.366666
4,Lake In The Hills,IL,6061983,28.100000
1,Lake Villa,IL,702120,26.366666
6,Lake Zurich,IL,702120,26.366666
4,Lansing,IL,5231351,27.266666
3,Lawrenceville,IL,16604,29.800000
4,Le Roy,IL,188715,30.466666
4,Lebanon,IL,536741,30.500000
13,Lemont,IL,6841856,31.066666
1,Lewistown,IL,36651,30.000000
1,Lexington,IL,172281,30.466666
7,Libertyville,IL,702120,26.366666
6,Lincoln,IL,30013,32.166666
4,Lindenhurst,IL,702120,26.366666
4,Lisle,IL,927987,26.300000
14,Litchfield,IL,76851,29.466666
3,Lockport,IL,682518,31.066666
10,Lombard,IL,927987,26.300000
8,Loves Park,IL,346009,29.833333
1,Lyons,IL,5231351,27.266666
6,Machesney Park,IL,346009,29.833333
9,Macomb,IL,32537,29.300000
2,Mahomet,IL,219780,29.466666
6,Manteno,IL,795558,31.166666
3,Marengo,IL,466789,29.900000
9,Marion,IL,66674,30.066666
4,Markham,IL,5231351,27.266666
1,Marseilles,IL,112973,29.600000
5,Marshall,IL,34400,30.800000
4,Mascoutah,IL,306919,29.733333
6,Matteson,IL,5231351,27.266666
13,Mattoon,IL,64623,29.300000
3,Maywood,IL,5231351,27.266666
16,McHenry,IL,1010265,26.900000
3,McLean,IL,218728,32.166666
1,McLeansboro,IL,8370,29.400000
6,Melrose Park,IL,5231351,27.266666
7,Mendota,IL,182333,30.133333
1,Metamora,IL,38971,29.600000
5,Metropolis,IL,15234,31.566666
1,Mettawa,IL,702120,26.366666
4,Midlothian,IL,5231351,27.266666
9,Milan,IL,163676,30.900000
6,Minooka,IL,850904,31.766666
2,Mokena,IL,682518,31.066666
14,Moline,IL,147457,28.066666
4,Monee,IL,5913869,31.066666
5,Monmouth,IL,17731,29.666666
10,Montgomery,IL,640592,28.500000
3,Monticello,IL,16504,29.466666
11,Morris,IL,168386,31.766666
1,Morrison,IL,57846,28.400000
8,Morton,IL,135949,27.733333
2,Morton Grove,IL,5231351,27.266666
3,Mount Carmel,IL,11727,29.333333
6,Mount Prospect,IL,5231351,27.266666
1,Mount Sterling,IL,6914,29.666666
11,Mount Vernon,IL,38720,31.633333
1,Mount Zion,IL,110122,31.366666
10,Mundelein,IL,702120,26.366666
6,Murphysboro,IL,60071,28.166666
28,Naperville,IL,1610505,31.066666
3,Nashville,IL,36656,30.700000
2,New Baden,IL,306919,29.733333
1,New Lennox,IL,682518,31.066666
4,New Lenox,IL,5913869,31.066666
4,Newton,IL,25790,29.800000
11,Niles,IL,5231351,27.266666
11,Normal,IL,172281,30.466666
3,Norridge,IL,5231351,27.266666
5,North Chicago,IL,702120,26.366666
2,North Pekin,IL,135949,27.733333
2,North Riverside,IL,5231351,27.266666
3,Northbrook,IL,5933471,27.266666
2,Northlake,IL,5231351,27.266666
15,O'Fallon,IL,536741,30.500000
11,Oak Brook,IL,6159338,27.266666
4,Oak Forest,IL,5231351,27.266666
8,Oak Lawn,IL,5231351,27.266666
3,Oak Park,IL,5231351,27.266666
2,Oakbrook Terrace,IL,927987,26.300000
1,Oakwood,IL,80727,29.233333
4,Oglesby,IL,112973,29.600000
1,Okawville,IL,14598,30.700000
5,Olney,IL,16176,29.800000
2,Olympia Fields,IL,5913869,31.066666
2,Oregon,IL,52848,28.366666
2,Orion,IL,197612,28.500000
6,Orland Hills,IL,5913869,31.066666
11,Orland Park,IL,5913869,31.066666
5,Oswego,IL,2251097,31.066666
7,Ottawa,IL,112973,29.600000
13,Palatine,IL,5933471,27.266666
1,Palos,IL,5231351,27.266666
2,Palos Heights,IL,5231351,27.266666
4,Palos Hills,IL,5231351,27.266666
4,Pana,IL,86454,30.266666
5,Paris,IL,18191,30.800000
3,Park City,IL,702120,26.366666
3,Park Ridge,IL,5231351,27.266666
4,Paxton,IL,217284,30.733333
9,Pekin,IL,135949,27.733333
21,Peoria,IL,187254,28.400000
3,Peoria Heights,IL,187254,28.400000
4,Peotone,IL,795558,31.166666
12,Peru,IL,147296,30.133333
3,Petersburg,IL,26060,29.733333
2,Pinckneyville,IL,22058,29.066666
3,Pittsfield,IL,16308,28.900000
14,Plainfield,IL,800623,31.066666
1,Plano,IL,118105,27.666666
1,Pleasant Hill,IL,16308,28.900000
6,Pontiac,IL,38647,29.800000
1,Pontoon Beach,IL,267883,30.466666
6,Princeton,IL,34323,29.500000
2,Prospect Heights,IL,5231351,27.266666
12,Quincy,IL,67197,30.166666
5,Rantoul,IL,203276,27.766666
4,Red Bud,IL,66313,29.933333
2,Richmond,IL,308145,26.866666
4,Richton Park,IL,5913869,31.066666
1,River Grove,IL,5231351,27.266666
2,Riverwoods,IL,5933471,27.266666
6,Robinson,IL,19600,30.833333
18,Rochelle,IL,192589,29.733333
9,Rock Falls,IL,92883,28.400000
7,Rock Island,IL,147457,28.066666
55,Rockford,IL,398857,29.833333
6,Rolling Meadows,IL,5231351,27.266666
8,Romeoville,IL,682518,31.066666
7,Roscoe,IL,346009,29.833333
5,Roselle,IL,6159338,27.266666
1,Rosemont,IL,5231351,27.266666
3,Round Lake,IL,702120,26.366666
3,Round Lake Beach,IL,702120,26.366666
7,Salem,IL,38894,30.533333
10,Sandwich,IL,335782,29.833333
2,Sauk Village,IL,5913869,31.066666
6,Savanna,IL,37560,29.733333
1,Savoy,IL,203276,27.766666
21,Schaumburg,IL,6159338,27.266666
3,Schiller Park,IL,5231351,27.266666
1,Scott Afb,IL,268858,29.733333
2,Shelbyville,IL,22196,28.933333
5,Shorewood,IL,800623,31.066666
7,Skokie,IL,5231351,27.266666
6,South Beloit,IL,346009,29.833333
4,South Chicago Heights,IL,5913869,31.066666
5,South Elgin,IL,522487,28.100000
4,South Holland,IL,5231351,27.266666
4,Sparta,IL,32956,29.933333
2,Spring Valley,IL,34323,29.500000
36,Springfield,IL,199271,29.733333
18,St. Charles,IL,1450474,28.100000
2,Staunton,IL,315114,30.466666
7,Sterling,IL,92883,28.400000
1,Stickney,IL,5231351,27.266666
8,Streamwood,IL,6159338,27.266666
8,Streator,IL,151620,30.066666
5,Sullivan,IL,68588,29.400000
1,Summit,IL,5231351,27.266666
3,Swansea,IL,268858,29.733333
11,Sycamore,IL,627191,29.733333
6,Taylorville,IL,34638,30.266666
1,Third Lake,IL,702120,26.366666
1,Tilton,IL,80727,29.233333
6,Tinley Park,IL,5913869,31.066666
11,Troy,IL,536741,30.500000
5,Tuscola,IL,223129,29.800000
6,Urbana,IL,203276,27.766666
5,Vandalia,IL,22014,30.600000
5,Vernon Hills,IL,702120,26.366666
1,Vienna,IL,12760,29.033333
3,Villa Park,IL,927987,26.300000
1,Volo,IL,702120,26.366666
1,Wadsworth,IL,702120,26.366666
3,Warrenville,IL,927987,26.300000
1,Wasco,IL,522487,28.100000
8,Washington,IL,135949,27.733333
9,Waterloo,IL,302215,29.733333
4,Watseka,IL,29240,31.100000
4,Wauconda,IL,702120,26.366666
14,Waukegan,IL,702120,26.366666
4,Wenona,IL,125300,29.733333
13,West Chicago,IL,1450474,28.100000
3,West City,IL,39407,29.600000
4,West Dundee,IL,522487,28.100000
8,West Frankfort,IL,106081,30.066666
1,West Peoria,IL,187254,28.400000
5,Westchester,IL,5231351,27.266666
6,Westmont,IL,927987,26.300000
7,Wheaton,IL,927987,26.300000
5,Wheeling,IL,5231351,27.266666
3,Williamsville,IL,242006,32.166666
4,Willowbrook,IL,6159338,27.266666
4,Wilmington,IL,845839,31.766666
1,Winnebago,IL,292069,29.100000
2,Wood Dale,IL,927987,26.300000
6,Wood River,IL,267883,30.466666
1,Wooddale,IL,927987,26.300000
4,Woodridge,IL,1610505,31.066666
7,Woodstock,IL,308145,26.866666
1,Wyoming,IL,5946,30.233333
7,Yorkville,IL,118105,27.666666
5,Zion,IL,702120,26.366666
4,Albany,IN,143179,33.766666
2,Alexandria,IN,247712,35.300000
31,Anderson,IN,537207,35.300000
7,Angola,IN,34124,32.300000
1,Arcadia,IN,289495,25.300000
2,Argos,IN,67761,31.666666
6,Attica,IN,202974,30.800000
11,Auburn,IN,402733,32.366666
6,Aurora,IN,55910,33.066666
2,Avilla,IN,89903,32.366666
7,Avon,IN,150434,32.400000
7,Batesville,IN,51552,31.500000
13,Bedford,IN,187097,29.866666
2,Beech Grove,IN,918977,31.333333
2,Berne,IN,34365,31.866666
1,Bicknell,IN,38122,32.300000
1,Bloomfield,IN,32940,32.033333
43,Bloomington,IN,177482,34.733333
13,Bluffton,IN,62017,31.866666
7,Boonville,IN,81300,32.133333
22,Brazil,IN,152334,35.200000
9,Bremen,IN,390977,31.966666
15,Brownsburg,IN,209378,32.400000
1,Brownstown,IN,43083,31.433333
1,Burns Harbor,IN,165682,30.333333
4,Cambridge City,IN,141720,33.500000
6,Camby,IN,1138767,32.866666
12,Carmel,IN,289495,25.300000
2,Castleton,IN,1208472,31.333333
1,Cayuga,IN,16040,30.300000
2,Cedar Lake,IN,493618,33.966666
4,Charlestown,IN,111951,31.533333
6,Chesterton,IN,165682,30.333333
1,Cicero,IN,289495,25.300000
6,Clarksville,IN,111951,31.533333
3,Clinton,IN,124468,32.200000
10,Cloverdale,IN,128486,34.733333
19,Columbia City,IN,117911,33.900000
28,Columbus,IN,137295,31.566666
21,Connersville,IN,122706,33.500000
7,Corydon,IN,39134,30.966666
3,Covington,IN,41501,31.066666
15,Crawfordsville,IN,55373,31.433333
13,Crown Point,IN,659300,33.966666
2,Cumberland,IN,989910,31.333333
6,Daleville,IN,166709,32.566666
6,Danville,IN,1069411,32.433333
18,Decatur,IN,422429,32.466666
3,Delphi,IN,197608,32.533333
7,Demotte,IN,47500,32.766666
3,Dyer,IN,493618,33.966666
4,East Chicago,IN,493618,33.966666
6,Edinburgh,IN,266791,33.766666
21,Elkhart,IN,199619,29.966666
16,Elwood,IN,504868,35.300000
58,Evansville,IN,239915,31.766666
3,Ferdinand,IN,82370,32.866666
13,Fishers,IN,289495,25.300000
2,Floyds Knobs,IN,187234,31.633333
75,Fort Wayne,IN,393754,32.866666
31,Frankfort,IN,372423,34.633333
19,Franklin,IN,187662,33.766666
6,Fremont,IN,34124,32.300000
1,Garrett,IN,42321,30.733333
14,Gary,IN,659300,33.966666
2,Gas City,IN,69330,31.200000
2,Gaston,IN,186694,32.566666
10,Goshen,IN,199619,29.966666
3,Granger,IN,543572,31.766666
11,Greencastle,IN,54819,31.833333
2,Greendale,IN,49831,33.066666
20,Greenfield,IN,88028,32.133333
17,Greensburg,IN,94689,32.133333
16,Greenwood,IN,143191,30.066666
6,Griffith,IN,493618,33.966666
